"","date_game","game_start_time","opponent_name","opponent_pts","team_name","team_pts","overtimes","attendance","game_type","away0_home1","game_id","attendance.perc","rest_time","rest_diff"
"1",2019-10-22,"8:00p","New Orleans Pelicans",122,"Toronto Raptors",130,"OT",20787,"Regular",1,1,0.954495362292222,NA,NA
"2",2019-10-22,"8:00p","Toronto Raptors",130,"New Orleans Pelicans",122,"OT",20787,"Regular",0,1,0,NA,NA
"3",2019-10-22,"10:30p","Los Angeles Lakers",102,"Los Angeles Clippers",112,NA,19068,"Regular",1,2,0.886100655234909,NA,NA
"4",2019-10-22,"10:30p","Los Angeles Clippers",112,"Los Angeles Lakers",102,NA,19068,"Regular",0,2,0,NA,NA
"5",2019-10-23,"7:00p","Chicago Bulls",125,"Charlotte Hornets",126,NA,15424,"Regular",1,3,0.717095169463945,NA,NA
"6",2019-10-23,"7:00p","Charlotte Hornets",126,"Chicago Bulls",125,NA,15424,"Regular",0,3,0,NA,NA
"7",2019-10-23,"7:00p","Detroit Pistons",119,"Indiana Pacers",110,NA,17923,"Regular",1,4,0.830306680255721,NA,NA
"8",2019-10-23,"7:00p","Indiana Pacers",110,"Detroit Pistons",119,NA,17923,"Regular",0,4,0,NA,NA
"9",2019-10-23,"7:00p","Cleveland Cavaliers",85,"Orlando Magic",94,NA,18846,"Regular",1,5,0.919227392449517,NA,NA
"10",2019-10-23,"7:00p","Orlando Magic",94,"Cleveland Cavaliers",85,NA,18846,"Regular",0,5,0,NA,NA
"11",2019-10-23,"7:30p","Minnesota Timberwolves",127,"Brooklyn Nets",126,"OT",17732,"Regular",1,6,0.817218176790488,NA,NA
"12",2019-10-23,"7:30p","Brooklyn Nets",126,"Minnesota Timberwolves",127,"OT",17732,"Regular",0,6,0,NA,NA
"13",2019-10-23,"7:30p","Memphis Grizzlies",101,"Miami Heat",120,NA,19600,"Regular",1,7,0.903350693644283,NA,NA
"14",2019-10-23,"7:30p","Miami Heat",120,"Memphis Grizzlies",101,NA,19600,"Regular",0,7,0,NA,NA
"15",2019-10-23,"7:30p","Boston Celtics",93,"Philadelphia 76ers",107,NA,20422,"Regular",1,8,0.949463015481891,NA,NA
"16",2019-10-23,"7:30p","Philadelphia 76ers",107,"Boston Celtics",93,NA,20422,"Regular",0,8,0,NA,NA
"17",2019-10-23,"8:30p","Washington Wizards",100,"Dallas Mavericks",108,NA,19816,"Regular",1,9,0.924771327235393,NA,NA
"18",2019-10-23,"8:30p","Dallas Mavericks",108,"Washington Wizards",100,NA,19816,"Regular",0,9,0,NA,NA
"19",2019-10-23,"8:30p","New York Knicks",111,"San Antonio Spurs",120,NA,18354,"Regular",1,10,0.867678343497376,NA,NA
"20",2019-10-23,"8:30p","San Antonio Spurs",120,"New York Knicks",111,NA,18354,"Regular",0,10,0,NA,NA
"21",2019-10-23,"9:00p","Oklahoma City Thunder",95,"Utah Jazz",100,NA,18306,"Regular",1,11,0.88571705051287,NA,NA
"22",2019-10-23,"9:00p","Utah Jazz",100,"Oklahoma City Thunder",95,NA,18306,"Regular",0,11,0,NA,NA
"23",2019-10-23,"10:00p","Sacramento Kings",95,"Phoenix Suns",124,NA,18055,"Regular",1,12,0.871380308880309,NA,NA
"24",2019-10-23,"10:00p","Phoenix Suns",124,"Sacramento Kings",95,NA,18055,"Regular",0,12,0,NA,NA
"25",2019-10-23,"10:00p","Denver Nuggets",108,"Portland Trail Blazers",100,NA,19991,"Regular",1,13,0.985603707538333,NA,NA
"26",2019-10-23,"10:00p","Portland Trail Blazers",100,"Denver Nuggets",108,NA,19991,"Regular",0,13,0,NA,NA
"27",2019-10-24,"7:00p","Atlanta Hawks",117,"Detroit Pistons",100,NA,20338,"Regular",1,14,0.920771459616081,1,NA
"28",2019-10-24,"7:00p","Detroit Pistons",100,"Atlanta Hawks",117,NA,20338,"Regular",0,14,0,NA,NA
"29",2019-10-24,"8:00p","Milwaukee Bucks",117,"Houston Rockets",111,NA,18055,"Regular",1,15,0.853664302600473,NA,NA
"30",2019-10-24,"8:00p","Houston Rockets",111,"Milwaukee Bucks",117,NA,18055,"Regular",0,15,0,NA,NA
"31",2019-10-24,"10:30p","Golden State Warriors",122,"Los Angeles Clippers",141,NA,18064,"Regular",0,16,0,2,NA
"32",2019-10-24,"10:30p","Los Angeles Clippers",141,"Golden State Warriors",122,NA,18064,"Regular",1,16,0.729563812600969,NA,NA
"33",2019-10-25,"7:00p","Boston Celtics",112,"Toronto Raptors",106,NA,18624,"Regular",0,17,0,3,1
"34",2019-10-25,"7:00p","Toronto Raptors",106,"Boston Celtics",112,NA,18624,"Regular",1,17,0.88140085186938,2,-1
"35",2019-10-25,"7:00p","Minnesota Timberwolves",121,"Charlotte Hornets",99,NA,14879,"Regular",1,18,0.691756938955786,2,0
"36",2019-10-25,"7:00p","Charlotte Hornets",99,"Minnesota Timberwolves",121,NA,14879,"Regular",0,18,0,2,0
"37",2019-10-25,"7:30p","New York Knicks",109,"Brooklyn Nets",113,NA,17732,"Regular",1,19,0.817218176790488,2,0
"38",2019-10-25,"7:30p","Brooklyn Nets",113,"New York Knicks",109,NA,17732,"Regular",0,19,0,2,0
"39",2019-10-25,"8:00p","Memphis Grizzlies",102,"Chicago Bulls",110,NA,17794,"Regular",0,20,0,2,0
"40",2019-10-25,"8:00p","Chicago Bulls",110,"Memphis Grizzlies",102,NA,17794,"Regular",1,20,0.810328339177558,2,0
"41",2019-10-25,"8:00p","Dallas Mavericks",123,"New Orleans Pelicans",116,NA,17027,"Regular",1,21,0.81100261967135,3,1
"42",2019-10-25,"8:00p","New Orleans Pelicans",116,"Dallas Mavericks",123,NA,17027,"Regular",0,21,0,2,-1
"43",2019-10-25,"8:00p","Oklahoma City Thunder",85,"Washington Wizards",97,NA,18203,"Regular",0,22,0,2,0
"44",2019-10-25,"8:00p","Washington Wizards",97,"Oklahoma City Thunder",85,NA,18203,"Regular",1,22,0.880690889738255,2,0
